CatCode,nCategory,nSubCategory
101,Artificial Flower Arrangements,Banksia Series
102,Artificial Flower Arrangements,Cymbidium Series
103,Artificial Flower Arrangements,Eucalyptus Series
104,Artificial Flower Arrangements,Hydrangea Series
105,Artificial Flower Arrangements,Lilac Series
106,Artificial Flower Arrangements,Magnolia Series
107,Artificial Flower Arrangements,Orchid Series
108,Artificial Flower Arrangements,Peony Series
109,Artificial Flower Arrangements,Phalaenopsis Series
110,Artificial Flower Arrangements,Pieris Series
111,Artificial Flower Arrangements,PinCushion Series
112,Artificial Flower Arrangements,Protea Series
113,Artificial Flower Arrangements,Rose Series
114,Artificial Flower Arrangements,Scabiosa Series
115,Artificial Flower Arrangements,Waratah Series
100,Artificial Flower Arrangements,Other Arrangement
501,Artificial Flowers,Akebia
502,Artificial Flowers,Allium
503,Artificial Flowers,Amaranthus
504,Artificial Flowers,Anemone
505,Artificial Flowers,Anthuriums
506,Artificial Flowers,Aralia
507,Artificial Flowers,Artichoke
508,Artificial Flowers,Astilbes
509,Artificial Flowers,Astrantia
510,Artificial Flowers,BabysBreath
511,Artificial Flowers,Banksia
512,Artificial Flowers,Bean
513,Artificial Flowers,Berries
514,Artificial Flowers,Berzelia
515,Artificial Flowers,Billy
517,Artificial Flowers,Blossom
518,Artificial Flowers,Blushing Brush
519,Artificial Flowers,Bottle Brush
520,Artificial Flowers,Bougainvilleas
521,Artificial Flowers,Brunia
522,Artificial Flowers,Bunny
523,Artificial Flowers,Callistemon
524,Artificial Flowers,Camellias
525,Artificial Flowers,Carnation
526,Artificial Flowers,Chrysanthemum
527,Artificial Flowers,Clover
528,Artificial Flowers,Cone
529,Artificial Flowers,Craspedia
530,Artificial Flowers,Corn Flower
531,Artificial Flowers,Cosmos
532,Artificial Flowers,Cotton
533,Artificial Flowers,Cycad
534,Artificial Flowers,Cymbidium
535,Artificial Flowers,Dahlia
536,Artificial Flowers,Delphinium
537,Artificial Flowers,Dogwood
538,Artificial Flowers,Dusty Miller
539,Artificial Flowers,Eucalyptuses
540,Artificial Flowers,Ferns
541,Artificial Flowers,Fig
542,Artificial Flowers,Flannel
543,Artificial Flowers,Frangipani
544,Artificial Flowers,Foxtail
545,Artificial Flowers,Gerbera
546,Artificial Flowers,Ginger
547,Artificial Flowers,Gloriosa
548,Artificial Flowers,Grass
549,Artificial Flowers,Grevillea
550,Artificial Flowers,Gum
551,Artificial Flowers,Heather
552,Artificial Flowers,Honesty
553,Artificial Flowers,Hydrangea
554,Artificial Flowers,Kalanchoes
555,Artificial Flowers,Kangaroo Paw
556,Artificial Flowers,Lambs Ear
557,Artificial Flowers,Larkspur
558,Artificial Flowers,Laurel
559,Artificial Flowers,Lavenders
560,Artificial Flowers,Lemon
561,Artificial Flowers,Leucadendron
562,Artificial Flowers,Lichen
563,Artificial Flowers,Lily
564,Artificial Flowers,Limonium
565,Artificial Flowers,Lirio
566,Artificial Flowers,Lisianthus
567,Artificial Flowers,Lush
568,Artificial Flowers,Magnolia
569,Artificial Flowers,Maple
570,Artificial Flowers,Medinilla
571,Artificial Flowers,Michelia
572,Artificial Flowers,Monstera
573,Artificial Flowers,Moss
574,Artificial Flowers,Native
575,Artificial Flowers,Needle
601,Artificial Flowers,Olive
602,Artificial Flowers,Orchid
603,Artificial Flowers,Palm Leaves
604,Artificial Flowers,Pampas
605,Artificial Flowers,Parsley
606,Artificial Flowers,Peony
607,Artificial Flowers,Phalaenopsis
608,Artificial Flowers,Pieris
609,Artificial Flowers,Pin Cushion
610,Artificial Flowers,Pittosporum
611,Artificial Flowers,Plume
612,Artificial Flowers,Pom Pom
613,Artificial Flowers,Popcorn
614,Artificial Flowers,Poppy
615,Artificial Flowers,Protea
616,Artificial Flowers,Pussy
617,Artificial Flowers,Queen Annes Lace
618,Artificial Flowers,Ranunculus
619,Artificial Flowers,Rose
620,Artificial Flowers,Rosebud
621,Artificial Flowers,Ruellia
622,Artificial Flowers,Ruscus
623,Artificial Flowers,Sawtooth
624,Artificial Flowers,Scabiosa
625,Artificial Flowers,Scadoxus
626,Artificial Flowers,SeaHolly
627,Artificial Flowers,Seed
628,Artificial Flowers,Shikiba
629,Artificial Flowers,Silver
630,Artificial Flowers,Simplex
631,Artificial Flowers,Smoke Bush
632,Artificial Flowers,Snowball
633,Artificial Flowers,Sorghum
634,Artificial Flowers,Star Flower
635,Artificial Flowers,Stephanotis
636,Artificial Flowers,Stirlingia
637,Artificial Flowers,Sun Flower
638,Artificial Flowers,Sweet Gum
639,Artificial Flowers,Sycamore
640,Artificial Flowers,Taro
641,Artificial Flowers,Tea
642,Artificial Flowers,Tetragona
643,Artificial Flowers,Thistle
644,Artificial Flowers,Twig-NA
645,Artificial Flowers,Tulip
646,Artificial Flowers,Twig
647,Artificial Flowers,Viburnum
648,Artificial Flowers,Waratah
649,Artificial Flowers,Wattles
650,Artificial Flowers,Wax
651,Artificial Flowers,Wheat
652,Artificial Flowers,Willows
653,Artificial Flowers,Wisteria
654,Artificial Flowers,Woolly
655,Artificial Flowers,Other Leaves
656,Artificial Flowers,Other Spray
657,Artificial Flowers,Daisy
658,Artificial Flowers,Pansy
659,Artificial Flowers,Tropical Flowers
660,Artificial Flowers,Mimosa Flowers
661,Artificial Flowers,Gardenia Flowers
500,Artificial Flowers,Other Flowers
701,Artificial Plants,Agave
702,Artificial Plants,Aglaonema
703,Artificial Plants,Airfern
704,Artificial Plants,Alocasia
705,Artificial Plants,Aluminium
706,Artificial Plants,Angel
708,Artificial Plants,Astilbe
709,Artificial Plants,Auritum
710,Artificial Plants,Baby's Breath
713,Artificial Plants,Bell
714,Artificial Plants,Berry
715,Artificial Plants,Bougainvillea
716,Artificial Plants,Boxwood
717,Artificial Plants,Budding
718,Artificial Plants,Cactus
719,Artificial Plants,Caladium
720,Artificial Plants,Calathea
722,Artificial Plants,Cissus
723,Artificial Plants,Clematis
724,Artificial Plants,Coin Leaf
725,Artificial Plants,Coleus
726,Artificial Plants,Coral
727,Artificial Plants,Cordyline
728,Artificial Plants,Curry
729,Artificial Plants,Cycas
730,Artificial Plants,Dieffenbachia
731,Artificial Plants,Echeveria
732,Artificial Plants,Eucalyptus
